"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Run/Debug","Step Return","⌥C","Debugging"
"Source","Organize Imports","⇧⌘O","In Windows"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Edit","Select Enclosing Element","⌥⇧↑","Editing in Structured Text Editors"
"Text Editing","Select Previous Word","⌥⇧←","Editing Text"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Navigate","Go to Line","⌘L","Editing Text"
"Navigate","Forward History","⌘]","In Windows"
"Enhanced Class Decompiler","Decompile","⌃⌥.","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Run/Debug","Terminate","⌘F2","Debugging"
"Edit","Select Previous Element","⌃⇧←","Editing in Structured Text Editors"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Edit","Incremental Find","⌘J","Editing Text"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Window","Show Contributing Plug-in","⌥⇧F3","In Dialogs and Windows"
"Edit","Toggle Word Wrap","⌥⌘Y","Editing Text"
"Window","Quick Access","⌘3","In Windows"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Window","Activate Editor","⌘F12","In Windows"
"Edit","Previous Sibling","⌃⇧↑","Editing in Structured Text Editors"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Edit","Find and Replace","⌘F","In Windows"
"Edit","Copy","⌘C","In Dialogs and Windows"
"File","Rename","F2","In Windows"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Navigate","Show In...","⌥⌘W","In Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Text Editing","Delete Line","⌘D","Editing Text"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Edit","Select Enclosing Element","⌃⇧⇞","Editing Java Source"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Text Editing","Select Next Word","⌥⇧→","Editing Text"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Edit","Select Next Element","⌃⇧↘","Editing Java Source"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Navigate","Open Declaration","F3","In Windows"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Edit","Restore Last Selection","⌃⇧⇟","Editing Java Source"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Run/Debug","Step Over","⌥X","Debugging"
"Git","Commit...","⌥⌘3","In Windows"
"Text Editing","Line Start","⌘←","Editing Text"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Edit","Select Previous Element","⌃⇧↖","Editing Java Source"
"Window","Next View","⌘F7","In Windows"
"Project","Build All","⌘B","In Windows"
"Edit","Quick Diff Toggle","⌃⇧Q","Editing Text"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Window","Previous View","⇧⌘F7","In Windows"
"Run/Debug","Debug","⌘F11","In Windows"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Text Editing","Previous Word","⌥←","Editing Text"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Window","Quick Switch Editor","⌘E","In Windows"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Text Editing","Next Word","⌥→","Editing Text"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Run/Debug","EOF","⌃D","In I/O Console"
"Window","Next Editor","⌘F6","In Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Navigate","Next Page","⌥F7","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Quick Search Category","Quick Search Command","⇧⌘L","In Windows"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Text Editing","Text End","↘","Editing Text"
"View","Zoom Out","⌘-","In Windows"
"Edit","Delete","⌦","In Windows"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Uncategorized","Find References","⇧⌘G","in Generic Code Editor"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"File","Close All","⇧⌘W","In Windows"
"Text Editing","Zoom In","⌘=","Editing Text"
"Edit","Matching Tag","⌃⇧.","Editing in Structured Text Editors"
"Run/Debug","Step Into","⌥Y","Debugging"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Run/Debug","Skip All Breakpoints","⌥⌘B","In Windows"
"Run/Debug","Execute","⌘U","In Windows"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Run/Debug","Resume","⌥<","Debugging"
"Edit","Context Information","⌃⇧Space","In Dialogs and Windows"
"Window","Update Project","⌥F5","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Window","Close Dialog","⌘W","In Dialogs"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor"
"Navigate","Open from Clipboard","⇧⌘V","In Windows"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
